time	reading
1405525188	49.988422
1405525189	49.989586
1405525190	49.990589
1405525191	49.991058
1405525192	49.991337
1405525193	49.991486
1405525194	49.991459
1405525195	49.991203
1405525196	49.990681
1405525197	49.989681
1405525198	49.988632
1405525200	49.987602
1405525201	49.986683
1405525202	49.986053
1405525203	49.985947
1405525204	49.986053
1405525205	49.986473
1405525206	49.987114
1405525207	49.988052
1405525208	49.988934
1405525209	49.989849
1405525210	49.990837
1405525211	49.991638
1405525212	49.992229
1405525213	49.992661
1405525214	49.992977
1405525215	49.992992
1405525216	49.992748
1405525217	49.992435
1405525218	49.992184
1405525219	49.992107
1405525220	49.992016
1405525221	49.992039
1405525222	49.992401
1405525223	49.993092
1405525224	49.993919
1405525225	49.995041
1405525226	49.996052
1405525227	49.996731
1405525228	49.997147
1405525229	49.997597
1405525230	49.998196
1405525231	49.998707
1405525232	49.99905
1405525233	49.999359
1405525234	49.999481
1405525235	49.999325
1405525236	49.999054
1405525237	49.998894
1405525238	49.998997
1405525239	49.999054
1405525240	49.998787
1405525241	49.998489
1405525242	49.998291
1405525243	49.998074
1405525244	49.997894
1405525245	49.997726
1405525246	49.997559
1405525247	49.997456
1405525248	49.997276
1405525249	49.99688
1405525250	49.996319
1405525251	49.995636
1405525252	49.994637
1405525253	49.993481
1405525254	49.992409
1405525255	49.991653
1405525256	49.990749
1405525257	49.990005
1405525259	49.989891
1405525260	49.990089
1405525261	49.990692
1405525262	49.99168
1405525263	49.992775
1405525264	49.993511
1405525265	49.993992
1405525266	49.994514
1405525267	49.995113
1405525268	49.995529
1405525269	49.995602
1405525270	49.995396
1405525271	49.99509
1405525272	49.994625
1405525273	49.99403
1405525274	49.993656
1405525275	49.993443
1405525276	49.993317
1405525277	49.993217
1405525278	49.993008
1405525279	49.992599
1405525280	49.991951
1405525281	49.991306
1405525282	49.990974
1405525283	49.990891
1405525284	49.990963
1405525285	49.991173
1405525286	49.991325
1405525287	49.991688
1405525288	49.992413
1405525289	49.992989
1405525290	49.993275
1405525291	49.993431
1405525292	49.993523
1405525293	49.993412
1405525294	49.993256
1405525295	49.993176
1405525297	49.993061
1405525298	49.992985
1405525299	49.99324
1405525300	49.99366
1405525301	49.99379
1405525302	49.993649
1405525303	49.993546
1405525304	49.993568
1405525305	49.993599
1405525306	49.993546
1405525307	49.993534
1405525308	49.993603
1405525309	49.993576
1405525310	49.993355
1405525311	49.993217
1405525312	49.993217
1405525313	49.993149
1405525314	49.992935
1405525315	49.992676
1405525316	49.992508
1405525317	49.992504
1405525318	49.992535
1405525319	49.992458
1405525320	49.992832
1405525321	49.993256
1405525322	49.993069
1405525323	49.99247
1405525324	49.991859
1405525325	49.991203
1405525326	49.990532
1405525327	49.989861
1405525328	49.989185
1405525329	49.988659
1405525330	49.988426
1405525331	49.988453
1405525332	49.988747
1405525333	49.989166
1405525334	49.989498
1405525335	49.989647
1405525336	49.990185
1405525337	49.990795
1405525338	49.991405
1405525339	49.992107
1405525341	49.992687
1405525342	49.992924
1405525343	49.993023
1405525344	49.993107
1405525345	49.993309
1405525346	49.993622
1405525347	49.994225
1405525348	49.994843
1405525349	49.995068
1405525350	49.994915
1405525351	49.994778
1405525352	49.994942
1405525353	49.995514
1405525354	49.996178
1405525355	49.996647
1405525356	49.99696
1405525357	49.997349
1405525358	49.998043
1405525359	49.99921
1405525360	50.000896
1405525361	50.002884
1405525362	50.004276
1405525363	50.005383
1405525364	50.006287
1405525365	50.007179
1405525366	50.008152
1405525367	50.008923
1405525368	50.009342
1405525369	50.009537
1405525370	50.009602
1405525371	50.009655
1405525372	50.009586
1405525373	50.009506
1405525374	50.009315
1405525375	50.008778
1405525376	50.007778
1405525377	50.006824
1405525378	50.005749
1405525379	50.004852
1405525380	50.003624
1405525381	50.002625
1405525382	50.002007
1405525383	50.001766
1405525384	50.001751
1405525385	50.001835
1405525386	50.001961
